,Q
151,"[0.01041782 0.02083564 0.03125347 0.04167129 0.05208911 0.06250693
 0.07292475 0.08334258 0.0937604  0.10417822 0.11459604 0.12501387
 0.13543169 0.14584951 0.15626733 0.16668515 0.17710298 0.1875208
 0.19793862 0.20835644 0.21877426 0.22919209 0.23960991 0.25002773
 0.26044555 0.27086337 0.2812812  0.29169902 0.30211684 0.31253466
 0.32295248 0.33337031 0.34378813 0.35420595 0.36462377 0.3750416
 0.38545942 0.39587724 0.40629506 0.41671288 0.42713071 0.43754853
 0.44796635 0.45838417 0.46880199 0.47921982 0.48963764 0.50005546
 0.51047328 0.5208911  0.53130893 0.54172675 0.55214457 0.56256239
 0.57298022 0.58339804 0.59381586 0.60423368 0.6146515  0.62506933
 0.63548715 0.64590497 0.65632279 0.66674061 0.67715844 0.68757626
 0.69799408 0.7084119  0.71882972 0.72924755 0.73966537 0.75008319
 0.76050101 0.77091883 0.78133666 0.79175448 0.8021723  0.81259012
 0.82300795 0.83342577 0.84384359 0.85426141 0.86467923 0.87509706
 0.88551488 0.8959327  0.90635052 0.91676834 0.92718617 0.93760399
 0.94802181 0.95843963 0.96885745 0.97927528 0.9896931  1.00011092
 1.01052874 1.02094657 1.03136439 1.04178221]"
152,"[0.01044914 0.02089828 0.03134742 0.04179656 0.05224571 0.06269485
 0.07314399 0.08359313 0.09404227 0.10449141 0.11494055 0.12538969
 0.13583883 0.14628798 0.15673712 0.16718626 0.1776354  0.18808454
 0.19853368 0.20898282 0.21943196 0.2298811  0.24033025 0.25077939
 0.26122853 0.27167767 0.28212681 0.29257595 0.30302509 0.31347423
 0.32392338 0.33437252 0.34482166 0.3552708  0.36571994 0.37616908
 0.38661822 0.39706736 0.4075165  0.41796565 0.42841479 0.43886393
 0.44931307 0.45976221 0.47021135 0.48066049 0.49110963 0.50155877
 0.51200792 0.52245706 0.5329062  0.54335534 0.55380448 0.56425362
 0.57470276 0.5851519  0.59560104 0.60605019 0.61649933 0.62694847
 0.63739761 0.64784675 0.65829589 0.66874503 0.67919417 0.68964331
 0.70009246 0.7105416  0.72099074 0.73143988 0.74188902 0.75233816
 0.7627873  0.77323644 0.78368558 0.79413473 0.80458387 0.81503301
 0.82548215 0.83593129 0.84638043 0.85682957 0.86727871 0.87772786
 0.888177   0.89862614 0.90907528 0.91952442 0.92997356 0.9404227
 0.95087184 0.96132098 0.97177013 0.98221927 0.99266841 1.00311755
 1.01356669 1.02401583 1.03446497 1.04491411]"
153,"[0.01042834 0.02085668 0.03128502 0.04171335 0.05214169 0.06257003
 0.07299837 0.08342671 0.09385505 0.10428339 0.11471173 0.12514006
 0.1355684  0.14599674 0.15642508 0.16685342 0.17728176 0.1877101
 0.19813843 0.20856677 0.21899511 0.22942345 0.23985179 0.25028013
 0.26070847 0.27113681 0.28156514 0.29199348 0.30242182 0.31285016
 0.3232785  0.33370684 0.34413518 0.35456351 0.36499185 0.37542019
 0.38584853 0.39627687 0.40670521 0.41713355 0.42756189 0.43799022
 0.44841856 0.4588469  0.46927524 0.47970358 0.49013192 0.50056026
 0.51098859 0.52141693 0.53184527 0.54227361 0.55270195 0.56313029
 0.57355863 0.58398697 0.5944153  0.60484364 0.61527198 0.62570032
 0.63612866 0.646557   0.65698534 0.66741367 0.67784201 0.68827035
 0.69869869 0.70912703 0.71955537 0.72998371 0.74041205 0.75084038
 0.76126872 0.77169706 0.7821254  0.79255374 0.80298208 0.81341042
 0.82383875 0.83426709 0.84469543 0.85512377 0.86555211 0.87598045
 0.88640879 0.89683712 0.90726546 0.9176938  0.92812214 0.93855048
 0.94897882 0.95940716 0.9698355  0.98026383 0.99069217 1.00112051
 1.01154885 1.02197719 1.03240553 1.04283387]"
154,"[0.01040011 0.02080022 0.03120033 0.04160044 0.05200055 0.06240065
 0.07280076 0.08320087 0.09360098 0.10400109 0.1144012  0.12480131
 0.13520142 0.14560153 0.15600164 0.16640175 0.17680186 0.18720196
 0.19760207 0.20800218 0.21840229 0.2288024  0.23920251 0.24960262
 0.26000273 0.27040284 0.28080295 0.29120306 0.30160317 0.31200327
 0.32240338 0.33280349 0.3432036  0.35360371 0.36400382 0.37440393
 0.38480404 0.39520415 0.40560426 0.41600437 0.42640448 0.43680458
 0.44720469 0.4576048  0.46800491 0.47840502 0.48880513 0.49920524
 0.50960535 0.52000546 0.53040557 0.54080568 0.55120578 0.56160589
 0.572006   0.58240611 0.59280622 0.60320633 0.61360644 0.62400655
 0.63440666 0.64480677 0.65520688 0.66560699 0.67600709 0.6864072
 0.69680731 0.70720742 0.71760753 0.72800764 0.73840775 0.74880786
 0.75920797 0.76960808 0.78000819 0.7904083  0.8008084  0.81120851
 0.82160862 0.83200873 0.84240884 0.85280895 0.86320906 0.87360917
 0.88400928 0.89440939 0.9048095  0.91520961 0.92560971 0.93600982
 0.94640993 0.95681004 0.96721015 0.97761026 0.98801037 0.99841048
 1.00881059 1.0192107  1.02961081 1.04001092]"
155,"[0.01040443 0.02080885 0.03121328 0.04161771 0.05202213 0.06242656
 0.07283099 0.08323541 0.09363984 0.10404427 0.11444869 0.12485312
 0.13525755 0.14566197 0.1560664  0.16647083 0.17687525 0.18727968
 0.19768411 0.20808853 0.21849296 0.22889739 0.23930181 0.24970624
 0.26011067 0.27051509 0.28091952 0.29132395 0.30172837 0.3121328
 0.32253723 0.33294165 0.34334608 0.35375051 0.36415493 0.37455936
 0.38496379 0.39536821 0.40577264 0.41617707 0.42658149 0.43698592
 0.44739035 0.45779477 0.4681992  0.47860363 0.48900805 0.49941248
 0.50981691 0.52022133 0.53062576 0.54103019 0.55143462 0.56183904
 0.57224347 0.5826479  0.59305232 0.60345675 0.61386118 0.6242656
 0.63467003 0.64507446 0.65547888 0.66588331 0.67628774 0.68669216
 0.69709659 0.70750102 0.71790544 0.72830987 0.7387143  0.74911872
 0.75952315 0.76992758 0.780332   0.79073643 0.80114086 0.81154528
 0.82194971 0.83235414 0.84275856 0.85316299 0.86356742 0.87397184
 0.88437627 0.8947807  0.90518512 0.91558955 0.92599398 0.9363984
 0.94680283 0.95720726 0.96761168 0.97801611 0.98842054 0.99882496
 1.00922939 1.01963382 1.03003824 1.04044267]"
156,"[0.010398   0.02079601 0.03119401 0.04159202 0.05199002 0.06238802
 0.07278603 0.08318403 0.09358203 0.10398004 0.11437804 0.12477605
 0.13517405 0.14557205 0.15597006 0.16636806 0.17676607 0.18716407
 0.19756207 0.20796008 0.21835808 0.22875608 0.23915409 0.24955209
 0.2599501  0.2703481  0.2807461  0.29114411 0.30154211 0.31194012
 0.32233812 0.33273612 0.34313413 0.35353213 0.36393013 0.37432814
 0.38472614 0.39512415 0.40552215 0.41592015 0.42631816 0.43671616
 0.44711417 0.45751217 0.46791017 0.47830818 0.48870618 0.49910418
 0.50950219 0.51990019 0.5302982  0.5406962  0.5510942  0.56149221
 0.57189021 0.58228822 0.59268622 0.60308422 0.61348223 0.62388023
 0.63427823 0.64467624 0.65507424 0.66547225 0.67587025 0.68626825
 0.69666626 0.70706426 0.71746227 0.72786027 0.73825827 0.74865628
 0.75905428 0.76945228 0.77985029 0.79024829 0.8006463  0.8110443
 0.8214423  0.83184031 0.84223831 0.85263632 0.86303432 0.87343232
 0.88383033 0.89422833 0.90462634 0.91502434 0.92542234 0.93582035
 0.94621835 0.95661635 0.96701436 0.97741236 0.98781037 0.99820837
 1.00860637 1.01900438 1.02940238 1.03980039]"
157,"[0.01043008 0.02086016 0.03129024 0.04172032 0.0521504  0.06258047
 0.07301055 0.08344063 0.09387071 0.10430079 0.11473087 0.12516095
 0.13559103 0.14602111 0.15645119 0.16688127 0.17731134 0.18774142
 0.1981715  0.20860158 0.21903166 0.22946174 0.23989182 0.2503219
 0.26075198 0.27118206 0.28161214 0.29204221 0.30247229 0.31290237
 0.32333245 0.33376253 0.34419261 0.35462269 0.36505277 0.37548285
 0.38591293 0.39634301 0.40677308 0.41720316 0.42763324 0.43806332
 0.4484934  0.45892348 0.46935356 0.47978364 0.49021372 0.5006438
 0.51107388 0.52150395 0.53193403 0.54236411 0.55279419 0.56322427
 0.57365435 0.58408443 0.59451451 0.60494459 0.61537467 0.62580475
 0.63623482 0.6466649  0.65709498 0.66752506 0.67795514 0.68838522
 0.6988153  0.70924538 0.71967546 0.73010554 0.74053562 0.7509657
 0.76139577 0.77182585 0.78225593 0.79268601 0.80311609 0.81354617
 0.82397625 0.83440633 0.84483641 0.85526649 0.86569657 0.87612664
 0.88655672 0.8969868  0.90741688 0.91784696 0.92827704 0.93870712
 0.9491372  0.95956728 0.96999736 0.98042744 0.99085751 1.00128759
 1.01171767 1.02214775 1.03257783 1.04300791]"
158,"[0.01043414 0.02086827 0.03130241 0.04173655 0.05217068 0.06260482
 0.07303895 0.08347309 0.09390723 0.10434136 0.1147755  0.12520964
 0.13564377 0.14607791 0.15651205 0.16694618 0.17738032 0.18781446
 0.19824859 0.20868273 0.21911686 0.229551   0.23998514 0.25041927
 0.26085341 0.27128755 0.28172168 0.29215582 0.30258996 0.31302409
 0.32345823 0.33389237 0.3443265  0.35476064 0.36519477 0.37562891
 0.38606305 0.39649718 0.40693132 0.41736546 0.42779959 0.43823373
 0.44866787 0.459102   0.46953614 0.47997028 0.49040441 0.50083855
 0.51127268 0.52170682 0.53214096 0.54257509 0.55300923 0.56344337
 0.5738775  0.58431164 0.59474578 0.60517991 0.61561405 0.62604819
 0.63648232 0.64691646 0.65735059 0.66778473 0.67821887 0.688653
 0.69908714 0.70952128 0.71995541 0.73038955 0.74082369 0.75125782
 0.76169196 0.7721261  0.78256023 0.79299437 0.8034285  0.81386264
 0.82429678 0.83473091 0.84516505 0.85559919 0.86603332 0.87646746
 0.8869016  0.89733573 0.90776987 0.91820401 0.92863814 0.93907228
 0.94950641 0.95994055 0.97037469 0.98080882 0.99124296 1.0016771
 1.01211123 1.02254537 1.03297951 1.04341364]"
159,"[0.01038738 0.02077476 0.03116214 0.04154952 0.05193689 0.06232427
 0.07271165 0.08309903 0.09348641 0.10387379 0.11426117 0.12464855
 0.13503592 0.1454233  0.15581068 0.16619806 0.17658544 0.18697282
 0.1973602  0.20774758 0.21813496 0.22852233 0.23890971 0.24929709
 0.25968447 0.27007185 0.28045923 0.29084661 0.30123399 0.31162137
 0.32200874 0.33239612 0.3427835  0.35317088 0.36355826 0.37394564
 0.38433302 0.3947204  0.40510777 0.41549515 0.42588253 0.43626991
 0.44665729 0.45704467 0.46743205 0.47781943 0.48820681 0.49859418
 0.50898156 0.51936894 0.52975632 0.5401437  0.55053108 0.56091846
 0.57130584 0.58169322 0.59208059 0.60246797 0.61285535 0.62324273
 0.63363011 0.64401749 0.65440487 0.66479225 0.67517962 0.685567
 0.69595438 0.70634176 0.71672914 0.72711652 0.7375039  0.74789128
 0.75827866 0.76866603 0.77905341 0.78944079 0.79982817 0.81021555
 0.82060293 0.83099031 0.84137769 0.85176507 0.86215244 0.87253982
 0.8829272  0.89331458 0.90370196 0.91408934 0.92447672 0.9348641
 0.94525147 0.95563885 0.96602623 0.97641361 0.98680099 0.99718837
 1.00757575 1.01796313 1.02835051 1.03873788]"
160,"[0.01038744 0.02077488 0.03116231 0.04154975 0.05193719 0.06232463
 0.07271207 0.0830995  0.09348694 0.10387438 0.11426182 0.12464926
 0.13503669 0.14542413 0.15581157 0.16619901 0.17658645 0.18697389
 0.19736132 0.20774876 0.2181362  0.22852364 0.23891108 0.24929851
 0.25968595 0.27007339 0.28046083 0.29084827 0.3012357  0.31162314
 0.32201058 0.33239802 0.34278546 0.35317289 0.36356033 0.37394777
 0.38433521 0.39472265 0.40511008 0.41549752 0.42588496 0.4362724
 0.44665984 0.45704728 0.46743471 0.47782215 0.48820959 0.49859703
 0.50898447 0.5193719  0.52975934 0.54014678 0.55053422 0.56092166
 0.57130909 0.58169653 0.59208397 0.60247141 0.61285885 0.62324628
 0.63363372 0.64402116 0.6544086  0.66479604 0.67518347 0.68557091
 0.69595835 0.70634579 0.71673323 0.72712066 0.7375081  0.74789554
 0.75828298 0.76867042 0.77905786 0.78944529 0.79983273 0.81022017
 0.82060761 0.83099505 0.84138248 0.85176992 0.86215736 0.8725448
 0.88293224 0.89331967 0.90370711 0.91409455 0.92448199 0.93486943
 0.94525686 0.9556443  0.96603174 0.97641918 0.98680662 0.99719405
 1.00758149 1.01796893 1.02835637 1.03874381]"
161,"[0.01038102 0.02076205 0.03114307 0.04152409 0.05190512 0.06228614
 0.07266716 0.08304818 0.09342921 0.10381023 0.11419125 0.12457228
 0.1349533  0.14533432 0.15571535 0.16609637 0.17647739 0.18685841
 0.19723944 0.20762046 0.21800148 0.22838251 0.23876353 0.24914455
 0.25952558 0.2699066  0.28028762 0.29066864 0.30104967 0.31143069
 0.32181171 0.33219274 0.34257376 0.35295478 0.36333581 0.37371683
 0.38409785 0.39447887 0.4048599  0.41524092 0.42562194 0.43600297
 0.44638399 0.45676501 0.46714604 0.47752706 0.48790808 0.4982891
 0.50867013 0.51905115 0.52943217 0.5398132  0.55019422 0.56057524
 0.57095627 0.58133729 0.59171831 0.60209933 0.61248036 0.62286138
 0.6332424  0.64362343 0.65400445 0.66438547 0.6747665  0.68514752
 0.69552854 0.70590956 0.71629059 0.72667161 0.73705263 0.74743366
 0.75781468 0.7681957  0.77857673 0.78895775 0.79933877 0.80971979
 0.82010082 0.83048184 0.84086286 0.85124389 0.86162491 0.87200593
 0.88238696 0.89276798 0.903149   0.91353002 0.92391105 0.93429207
 0.94467309 0.95505412 0.96543514 0.97581616 0.98619719 0.99657821
 1.00695923 1.01734025 1.02772128 1.0381023 ]"
162,"[0.01039607 0.02079214 0.03118821 0.04158428 0.05198035 0.06237642
 0.07277249 0.08316855 0.09356462 0.10396069 0.11435676 0.12475283
 0.1351489  0.14554497 0.15594104 0.16633711 0.17673318 0.18712925
 0.19752532 0.20792139 0.21831746 0.22871353 0.23910959 0.24950566
 0.25990173 0.2702978  0.28069387 0.29108994 0.30148601 0.31188208
 0.32227815 0.33267422 0.34307029 0.35346636 0.36386243 0.3742585
 0.38465457 0.39505063 0.4054467  0.41584277 0.42623884 0.43663491
 0.44703098 0.45742705 0.46782312 0.47821919 0.48861526 0.49901133
 0.5094074  0.51980347 0.53019954 0.54059561 0.55099167 0.56138774
 0.57178381 0.58217988 0.59257595 0.60297202 0.61336809 0.62376416
 0.63416023 0.6445563  0.65495237 0.66534844 0.67574451 0.68614058
 0.69653665 0.70693271 0.71732878 0.72772485 0.73812092 0.74851699
 0.75891306 0.76930913 0.7797052  0.79010127 0.80049734 0.81089341
 0.82128948 0.83168555 0.84208162 0.85247769 0.86287375 0.87326982
 0.88366589 0.89406196 0.90445803 0.9148541  0.92525017 0.93564624
 0.94604231 0.95643838 0.96683445 0.97723052 0.98762659 0.99802266
 1.00841873 1.01881479 1.02921086 1.03960693]"
163,"[0.01042677 0.02085353 0.0312803  0.04170707 0.05213384 0.0625606
 0.07298737 0.08341414 0.09384091 0.10426767 0.11469444 0.12512121
 0.13554798 0.14597474 0.15640151 0.16682828 0.17725505 0.18768181
 0.19810858 0.20853535 0.21896212 0.22938888 0.23981565 0.25024242
 0.26066919 0.27109595 0.28152272 0.29194949 0.30237626 0.31280302
 0.32322979 0.33365656 0.34408333 0.35451009 0.36493686 0.37536363
 0.3857904  0.39621716 0.40664393 0.4170707  0.42749747 0.43792423
 0.448351   0.45877777 0.46920454 0.4796313  0.49005807 0.50048484
 0.51091161 0.52133837 0.53176514 0.54219191 0.55261868 0.56304544
 0.57347221 0.58389898 0.59432575 0.60475251 0.61517928 0.62560605
 0.63603282 0.64645958 0.65688635 0.66731312 0.67773989 0.68816665
 0.69859342 0.70902019 0.71944696 0.72987372 0.74030049 0.75072726
 0.76115403 0.77158079 0.78200756 0.79243433 0.8028611  0.81328786
 0.82371463 0.8341414  0.84456817 0.85499493 0.8654217  0.87584847
 0.88627524 0.896702   0.90712877 0.91755554 0.92798231 0.93840907
 0.94883584 0.95926261 0.96968938 0.98011614 0.99054291 1.00096968
 1.01139645 1.02182321 1.03224998 1.04267675]"
164,"[5.10697212e-15 1.03864727e-02 2.07729453e-02 3.11594180e-02
 4.15458907e-02 5.19323634e-02 6.23188360e-02 7.27053087e-02
 8.30917814e-02 9.34782540e-02 1.03864727e-01 1.14251199e-01
 1.24637672e-01 1.35024145e-01 1.45410617e-01 1.55797090e-01
 1.66183563e-01 1.76570035e-01 1.86956508e-01 1.97342981e-01
 2.07729453e-01 2.18115926e-01 2.28502399e-01 2.38888871e-01
 2.49275344e-01 2.59661817e-01 2.70048289e-01 2.80434762e-01
 2.90821235e-01 3.01207707e-01 3.11594180e-01 3.21980653e-01
 3.32367125e-01 3.42753598e-01 3.53140071e-01 3.63526543e-01
 3.73913016e-01 3.84299489e-01 3.94685961e-01 4.05072434e-01
 4.15458907e-01 4.25845380e-01 4.36231852e-01 4.46618325e-01
 4.57004798e-01 4.67391270e-01 4.77777743e-01 4.88164216e-01
 4.98550688e-01 5.08937161e-01 5.19323634e-01 5.29710106e-01
 5.40096579e-01 5.50483052e-01 5.60869524e-01 5.71255997e-01
 5.81642470e-01 5.92028942e-01 6.02415415e-01 6.12801888e-01
 6.23188360e-01 6.33574833e-01 6.43961306e-01 6.54347778e-01
 6.64734251e-01 6.75120724e-01 6.85507196e-01 6.95893669e-01
 7.06280142e-01 7.16666614e-01 7.27053087e-01 7.37439560e-01
 7.47826032e-01 7.58212505e-01 7.68598978e-01 7.78985450e-01
 7.89371923e-01 7.99758396e-01 8.10144868e-01 8.20531341e-01
 8.30917814e-01 8.41304286e-01 8.51690759e-01 8.62077232e-01
 8.72463704e-01 8.82850177e-01 8.93236650e-01 9.03623122e-01
 9.14009595e-01 9.24396068e-01 9.34782540e-01 9.45169013e-01
 9.55555486e-01 9.65941958e-01 9.76328431e-01 9.86714904e-01
 9.97101376e-01 1.00748785e+00 1.01787432e+00 1.02826079e+00]"
165,"[0.01038046 0.02076091 0.03114137 0.04152183 0.05190228 0.06228274
 0.0726632  0.08304365 0.09342411 0.10380456 0.11418502 0.12456548
 0.13494593 0.14532639 0.15570685 0.1660873  0.17646776 0.18684822
 0.19722867 0.20760913 0.21798959 0.22837004 0.2387505  0.24913096
 0.25951141 0.26989187 0.28027232 0.29065278 0.30103324 0.31141369
 0.32179415 0.33217461 0.34255506 0.35293552 0.36331598 0.37369643
 0.38407689 0.39445735 0.4048378  0.41521826 0.42559872 0.43597917
 0.44635963 0.45674009 0.46712054 0.477501   0.48788145 0.49826191
 0.50864237 0.51902282 0.52940328 0.53978374 0.55016419 0.56054465
 0.57092511 0.58130556 0.59168602 0.60206648 0.61244693 0.62282739
 0.63320785 0.6435883  0.65396876 0.66434921 0.67472967 0.68511013
 0.69549058 0.70587104 0.7162515  0.72663195 0.73701241 0.74739287
 0.75777332 0.76815378 0.77853424 0.78891469 0.79929515 0.80967561
 0.82005606 0.83043652 0.84081697 0.85119743 0.86157789 0.87195834
 0.8823388  0.89271926 0.90309971 0.91348017 0.92386063 0.93424108
 0.94462154 0.955002   0.96538245 0.97576291 0.98614337 0.99652382
 1.00690428 1.01728473 1.02766519 1.03804565]"
166,"[0.01040789 0.02081579 0.03122368 0.04163158 0.05203947 0.06244737
 0.07285526 0.08326316 0.09367105 0.10407895 0.11448684 0.12489474
 0.13530263 0.14571053 0.15611842 0.16652632 0.17693421 0.18734211
 0.19775    0.2081579  0.21856579 0.22897369 0.23938158 0.24978948
 0.26019737 0.27060527 0.28101316 0.29142106 0.30182895 0.31223685
 0.32264474 0.33305264 0.34346053 0.35386843 0.36427632 0.37468422
 0.38509211 0.39550001 0.4059079  0.4163158  0.42672369 0.43713158
 0.44753948 0.45794737 0.46835527 0.47876316 0.48917106 0.49957895
 0.50998685 0.52039474 0.53080264 0.54121053 0.55161843 0.56202632
 0.57243422 0.58284211 0.59325001 0.6036579  0.6140658  0.62447369
 0.63488159 0.64528948 0.65569738 0.66610527 0.67651317 0.68692106
 0.69732896 0.70773685 0.71814475 0.72855264 0.73896054 0.74936843
 0.75977633 0.77018422 0.78059212 0.79100001 0.80140791 0.8118158
 0.8222237  0.83263159 0.84303948 0.85344738 0.86385527 0.87426317
 0.88467106 0.89507896 0.90548685 0.91589475 0.92630264 0.93671054
 0.94711843 0.95752633 0.96793422 0.97834212 0.98875001 0.99915791
 1.0095658  1.0199737  1.03038159 1.04078949]"
167,"[0.01042402 0.02084804 0.03127207 0.04169609 0.05212011 0.06254413
 0.07296815 0.08339217 0.0938162  0.10424022 0.11466424 0.12508826
 0.13551228 0.14593631 0.15636033 0.16678435 0.17720837 0.18763239
 0.19805641 0.20848044 0.21890446 0.22932848 0.2397525  0.25017652
 0.26060054 0.27102457 0.28144859 0.29187261 0.30229663 0.31272065
 0.32314468 0.3335687  0.34399272 0.35441674 0.36484076 0.37526478
 0.38568881 0.39611283 0.40653685 0.41696087 0.42738489 0.43780892
 0.44823294 0.45865696 0.46908098 0.479505   0.48992902 0.50035305
 0.51077707 0.52120109 0.53162511 0.54204913 0.55247316 0.56289718
 0.5733212  0.58374522 0.59416924 0.60459326 0.61501729 0.62544131
 0.63586533 0.64628935 0.65671337 0.6671374  0.67756142 0.68798544
 0.69840946 0.70883348 0.7192575  0.72968153 0.74010555 0.75052957
 0.76095359 0.77137761 0.78180163 0.79222566 0.80264968 0.8130737
 0.82349772 0.83392174 0.84434577 0.85476979 0.86519381 0.87561783
 0.88604185 0.89646587 0.9068899  0.91731392 0.92773794 0.93816196
 0.94858598 0.95901001 0.96943403 0.97985805 0.99028207 1.00070609
 1.01113011 1.02155414 1.03197816 1.04240218]"
168,"[0.0104235  0.020847   0.0312705  0.041694   0.0521175  0.062541
 0.0729645  0.083388   0.0938115  0.104235   0.1146585  0.125082
 0.1355055  0.145929   0.15635251 0.16677601 0.17719951 0.18762301
 0.19804651 0.20847001 0.21889351 0.22931701 0.23974051 0.25016401
 0.26058751 0.27101101 0.28143451 0.29185801 0.30228151 0.31270501
 0.32312851 0.33355201 0.34397551 0.35439901 0.36482251 0.37524601
 0.38566951 0.39609301 0.40651651 0.41694001 0.42736351 0.43778701
 0.44821052 0.45863402 0.46905752 0.47948102 0.48990452 0.50032802
 0.51075152 0.52117502 0.53159852 0.54202202 0.55244552 0.56286902
 0.57329252 0.58371602 0.59413952 0.60456302 0.61498652 0.62541002
 0.63583352 0.64625702 0.65668052 0.66710402 0.67752752 0.68795102
 0.69837452 0.70879802 0.71922152 0.72964502 0.74006852 0.75049203
 0.76091553 0.77133903 0.78176253 0.79218603 0.80260953 0.81303303
 0.82345653 0.83388003 0.84430353 0.85472703 0.86515053 0.87557403
 0.88599753 0.89642103 0.90684453 0.91726803 0.92769153 0.93811503
 0.94853853 0.95896203 0.96938553 0.97980903 0.99023253 1.00065603
 1.01107953 1.02150303 1.03192653 1.04235003]"
169,"[0.01042283 0.02084566 0.03126849 0.04169132 0.05211415 0.06253697
 0.0729598  0.08338263 0.09380546 0.10422829 0.11465112 0.12507395
 0.13549678 0.14591961 0.15634244 0.16676526 0.17718809 0.18761092
 0.19803375 0.20845658 0.21887941 0.22930224 0.23972507 0.2501479
 0.26057073 0.27099356 0.28141638 0.29183921 0.30226204 0.31268487
 0.3231077  0.33353053 0.34395336 0.35437619 0.36479902 0.37522185
 0.38564467 0.3960675  0.40649033 0.41691316 0.42733599 0.43775882
 0.44818165 0.45860448 0.46902731 0.47945014 0.48987296 0.50029579
 0.51071862 0.52114145 0.53156428 0.54198711 0.55240994 0.56283277
 0.5732556  0.58367843 0.59410126 0.60452408 0.61494691 0.62536974
 0.63579257 0.6462154  0.65663823 0.66706106 0.67748389 0.68790672
 0.69832955 0.70875237 0.7191752  0.72959803 0.74002086 0.75044369
 0.76086652 0.77128935 0.78171218 0.79213501 0.80255784 0.81298067
 0.82340349 0.83382632 0.84424915 0.85467198 0.86509481 0.87551764
 0.88594047 0.8963633  0.90678613 0.91720896 0.92763178 0.93805461
 0.94847744 0.95890027 0.9693231  0.97974593 0.99016876 1.00059159
 1.01101442 1.02143725 1.03186008 1.0422829 ]"
170,"[0.01042247 0.02084494 0.03126741 0.04168988 0.05211235 0.06253482
 0.07295729 0.08337976 0.09380223 0.1042247  0.11464717 0.12506963
 0.1354921  0.14591457 0.15633704 0.16675951 0.17718198 0.18760445
 0.19802692 0.20844939 0.21887186 0.22929433 0.2397168  0.25013927
 0.26056174 0.27098421 0.28140668 0.29182915 0.30225162 0.31267409
 0.32309656 0.33351903 0.3439415  0.35436396 0.36478643 0.3752089
 0.38563137 0.39605384 0.40647631 0.41689878 0.42732125 0.43774372
 0.44816619 0.45858866 0.46901113 0.4794336  0.48985607 0.50027854
 0.51070101 0.52112348 0.53154595 0.54196842 0.55239089 0.56281336
 0.57323583 0.5836583  0.59408076 0.60450323 0.6149257  0.62534817
 0.63577064 0.64619311 0.65661558 0.66703805 0.67746052 0.68788299
 0.69830546 0.70872793 0.7191504  0.72957287 0.73999534 0.75041781
 0.76084028 0.77126275 0.78168522 0.79210769 0.80253016 0.81295263
 0.82337509 0.83379756 0.84422003 0.8546425  0.86506497 0.87548744
 0.88590991 0.89633238 0.90675485 0.91717732 0.92759979 0.93802226
 0.94844473 0.9588672  0.96928967 0.97971214 0.99013461 1.00055708
 1.01097955 1.02140202 1.03182449 1.04224696]"
171,"[0.01042445 0.02084891 0.03127336 0.04169782 0.05212227 0.06254672
 0.07297118 0.08339563 0.09382009 0.10424454 0.114669   0.12509345
 0.1355179  0.14594236 0.15636681 0.16679127 0.17721572 0.18764017
 0.19806463 0.20848908 0.21891354 0.22933799 0.23976245 0.2501869
 0.26061135 0.27103581 0.28146026 0.29188472 0.30230917 0.31273362
 0.32315808 0.33358253 0.34400699 0.35443144 0.3648559  0.37528035
 0.3857048  0.39612926 0.40655371 0.41697817 0.42740262 0.43782707
 0.44825153 0.45867598 0.46910044 0.47952489 0.48994935 0.5003738
 0.51079825 0.52122271 0.53164716 0.54207162 0.55249607 0.56292052
 0.57334498 0.58376943 0.59419389 0.60461834 0.6150428  0.62546725
 0.6358917  0.64631616 0.65674061 0.66716507 0.67758952 0.68801397
 0.69843843 0.70886288 0.71928734 0.72971179 0.74013625 0.7505607
 0.76098515 0.77140961 0.78183406 0.79225852 0.80268297 0.81310742
 0.82353188 0.83395633 0.84438079 0.85480524 0.8652297  0.87565415
 0.8860786  0.89650306 0.90692751 0.91735197 0.92777642 0.93820087
 0.94862533 0.95904978 0.96947424 0.97989869 0.99032315 1.0007476
 1.01117205 1.02159651 1.03202096 1.04244542]"
