,Q
123,"[0.01013319 0.02026638 0.03039957 0.04053276 0.05066595 0.06079914
 0.07093233 0.08106552 0.09119871 0.1013319  0.11146509 0.12159828
 0.13173147 0.14186466 0.15199785 0.16213104 0.17226423 0.18239742
 0.19253061 0.2026638  0.21279699 0.22293018 0.23306337 0.24319657
 0.25332976 0.26346295 0.27359614 0.28372933 0.29386252 0.30399571
 0.3141289  0.32426209 0.33439528 0.34452847 0.35466166 0.36479485
 0.37492804 0.38506123 0.39519442 0.40532761 0.4154608  0.42559399
 0.43572718 0.44586037 0.45599356 0.46612675 0.47625994 0.48639313
 0.49652632 0.50665951 0.5167927  0.52692589 0.53705908 0.54719227
 0.55732546 0.56745865 0.57759184 0.58772503 0.59785822 0.60799141
 0.6181246  0.62825779 0.63839098 0.64852417 0.65865736 0.66879055
 0.67892374 0.68905693 0.69919012 0.70932331 0.7194565  0.7295897
 0.73972289 0.74985608 0.75998927 0.77012246 0.78025565 0.79038884
 0.80052203 0.81065522 0.82078841 0.8309216  0.84105479 0.85118798
 0.86132117 0.87145436 0.88158755 0.89172074 0.90185393 0.91198712
 0.92212031 0.9322535  0.94238669 0.95251988 0.96265307 0.97278626
 0.98291945 0.99305264 1.00318583 1.01331902]"
124,"[0.01013446 0.02026892 0.03040338 0.04053784 0.0506723  0.06080676
 0.07094122 0.08107569 0.09121015 0.10134461 0.11147907 0.12161353
 0.13174799 0.14188245 0.15201691 0.16215137 0.17228583 0.18242029
 0.19255475 0.20268921 0.21282367 0.22295813 0.2330926  0.24322706
 0.25336152 0.26349598 0.27363044 0.2837649  0.29389936 0.30403382
 0.31416828 0.32430274 0.3344372  0.34457166 0.35470612 0.36484058
 0.37497504 0.38510951 0.39524397 0.40537843 0.41551289 0.42564735
 0.43578181 0.44591627 0.45605073 0.46618519 0.47631965 0.48645411
 0.49658857 0.50672303 0.51685749 0.52699195 0.53712642 0.54726088
 0.55739534 0.5675298  0.57766426 0.58779872 0.59793318 0.60806764
 0.6182021  0.62833656 0.63847102 0.64860548 0.65873994 0.6688744
 0.67900886 0.68914333 0.69927779 0.70941225 0.71954671 0.72968117
 0.73981563 0.74995009 0.76008455 0.77021901 0.78035347 0.79048793
 0.80062239 0.81075685 0.82089131 0.83102577 0.84116024 0.8512947
 0.86142916 0.87156362 0.88169808 0.89183254 0.901967   0.91210146
 0.92223592 0.93237038 0.94250484 0.9526393  0.96277376 0.97290822
 0.98304268 0.99317715 1.00331161 1.01344607]"
125,"[0.01013538 0.02027076 0.03040613 0.04054151 0.05067689 0.06081227
 0.07094765 0.08108302 0.0912184  0.10135378 0.11148916 0.12162453
 0.13175991 0.14189529 0.15203067 0.16216605 0.17230142 0.1824368
 0.19257218 0.20270756 0.21284294 0.22297831 0.23311369 0.24324907
 0.25338445 0.26351982 0.2736552  0.28379058 0.29392596 0.30406134
 0.31419671 0.32433209 0.33446747 0.34460285 0.35473823 0.3648736
 0.37500898 0.38514436 0.39527974 0.40541511 0.41555049 0.42568587
 0.43582125 0.44595663 0.456092   0.46622738 0.47636276 0.48649814
 0.49663352 0.50676889 0.51690427 0.52703965 0.53717503 0.54731041
 0.55744578 0.56758116 0.57771654 0.58785192 0.59798729 0.60812267
 0.61825805 0.62839343 0.63852881 0.64866418 0.65879956 0.66893494
 0.67907032 0.6892057  0.69934107 0.70947645 0.71961183 0.72974721
 0.73988258 0.75001796 0.76015334 0.77028872 0.7804241  0.79055947
 0.80069485 0.81083023 0.82096561 0.83110099 0.84123636 0.85137174
 0.86150712 0.8716425  0.88177787 0.89191325 0.90204863 0.91218401
 0.92231939 0.93245476 0.94259014 0.95272552 0.9628609  0.97299628
 0.98313165 0.99326703 1.00340241 1.01353779]"
126,"[0.01013693 0.02027386 0.03041079 0.04054773 0.05068466 0.06082159
 0.07095852 0.08109545 0.09123238 0.10136932 0.11150625 0.12164318
 0.13178011 0.14191704 0.15205397 0.16219091 0.17232784 0.18246477
 0.1926017  0.20273863 0.21287556 0.2230125  0.23314943 0.24328636
 0.25342329 0.26356022 0.27369715 0.28383408 0.29397102 0.30410795
 0.31424488 0.32438181 0.33451874 0.34465567 0.35479261 0.36492954
 0.37506647 0.3852034  0.39534033 0.40547726 0.4156142  0.42575113
 0.43588806 0.44602499 0.45616192 0.46629885 0.47643579 0.48657272
 0.49670965 0.50684658 0.51698351 0.52712044 0.53725738 0.54739431
 0.55753124 0.56766817 0.5778051  0.58794203 0.59807896 0.6082159
 0.61835283 0.62848976 0.63862669 0.64876362 0.65890055 0.66903749
 0.67917442 0.68931135 0.69944828 0.70958521 0.71972214 0.72985908
 0.73999601 0.75013294 0.76026987 0.7704068  0.78054373 0.79068067
 0.8008176  0.81095453 0.82109146 0.83122839 0.84136532 0.85150225
 0.86163919 0.87177612 0.88191305 0.89204998 0.90218691 0.91232384
 0.92246078 0.93259771 0.94273464 0.95287157 0.9630085  0.97314543
 0.98328237 0.9934193  1.00355623 1.01369316]"
127,"[0.01013687 0.02027375 0.03041062 0.04054749 0.05068436 0.06082124
 0.07095811 0.08109498 0.09123185 0.10136873 0.1115056  0.12164247
 0.13177934 0.14191622 0.15205309 0.16218996 0.17232683 0.18246371
 0.19260058 0.20273745 0.21287432 0.2230112  0.23314807 0.24328494
 0.25342181 0.26355869 0.27369556 0.28383243 0.2939693  0.30410618
 0.31424305 0.32437992 0.3345168  0.34465367 0.35479054 0.36492741
 0.37506429 0.38520116 0.39533803 0.4054749  0.41561178 0.42574865
 0.43588552 0.44602239 0.45615927 0.46629614 0.47643301 0.48656988
 0.49670676 0.50684363 0.5169805  0.52711737 0.53725425 0.54739112
 0.55752799 0.56766486 0.57780174 0.58793861 0.59807548 0.60821236
 0.61834923 0.6284861  0.63862297 0.64875985 0.65889672 0.66903359
 0.67917046 0.68930734 0.69944421 0.70958108 0.71971795 0.72985483
 0.7399917  0.75012857 0.76026544 0.77040232 0.78053919 0.79067606
 0.80081293 0.81094981 0.82108668 0.83122355 0.84136042 0.8514973
 0.86163417 0.87177104 0.88190791 0.89204479 0.90218166 0.91231853
 0.92245541 0.93259228 0.94272915 0.95286602 0.9630029  0.97313977
 0.98327664 0.99341351 1.00355039 1.01368726]"
128,"[0.01013665 0.0202733  0.03040995 0.0405466  0.05068325 0.0608199
 0.07095655 0.0810932  0.09122985 0.1013665  0.11150316 0.12163981
 0.13177646 0.14191311 0.15204976 0.16218641 0.17232306 0.18245971
 0.19259636 0.20273301 0.21286966 0.22300631 0.23314296 0.24327961
 0.25341626 0.26355291 0.27368956 0.28382621 0.29396286 0.30409951
 0.31423616 0.32437281 0.33450947 0.34464612 0.35478277 0.36491942
 0.37505607 0.38519272 0.39532937 0.40546602 0.41560267 0.42573932
 0.43587597 0.44601262 0.45614927 0.46628592 0.47642257 0.48655922
 0.49669587 0.50683252 0.51696917 0.52710582 0.53724247 0.54737913
 0.55751578 0.56765243 0.57778908 0.58792573 0.59806238 0.60819903
 0.61833568 0.62847233 0.63860898 0.64874563 0.65888228 0.66901893
 0.67915558 0.68929223 0.69942888 0.70956553 0.71970218 0.72983883
 0.73997548 0.75011213 0.76024879 0.77038544 0.78052209 0.79065874
 0.80079539 0.81093204 0.82106869 0.83120534 0.84134199 0.85147864
 0.86161529 0.87175194 0.88188859 0.89202524 0.90216189 0.91229854
 0.92243519 0.93257184 0.94270849 0.95284514 0.96298179 0.97311844
 0.9832551  0.99339175 1.0035284  1.01366505]"
129,"[0.01006963 0.02013926 0.03020888 0.04027851 0.05034814 0.06041777
 0.0704874  0.08055702 0.09062665 0.10069628 0.11076591 0.12083554
 0.13090516 0.14097479 0.15104442 0.16111405 0.17118368 0.18125331
 0.19132293 0.20139256 0.21146219 0.22153182 0.23160145 0.24167107
 0.2517407  0.26181033 0.27187996 0.28194959 0.29201921 0.30208884
 0.31215847 0.3222281  0.33229773 0.34236735 0.35243698 0.36250661
 0.37257624 0.38264587 0.39271549 0.40278512 0.41285475 0.42292438
 0.43299401 0.44306363 0.45313326 0.46320289 0.47327252 0.48334215
 0.49341178 0.5034814  0.51355103 0.52362066 0.53369029 0.54375992
 0.55382954 0.56389917 0.5739688  0.58403843 0.59410806 0.60417768
 0.61424731 0.62431694 0.63438657 0.6444562  0.65452582 0.66459545
 0.67466508 0.68473471 0.69480434 0.70487396 0.71494359 0.72501322
 0.73508285 0.74515248 0.7552221  0.76529173 0.77536136 0.78543099
 0.79550062 0.80557025 0.81563987 0.8257095  0.83577913 0.84584876
 0.85591839 0.86598801 0.87605764 0.88612727 0.8961969  0.90626653
 0.91633615 0.92640578 0.93647541 0.94654504 0.95661467 0.96668429
 0.97675392 0.98682355 0.99689318 1.00696281]"
130,"[0.00991567 0.01983134 0.02974701 0.03966269 0.04957836 0.05949403
 0.0694097  0.07932537 0.08924104 0.09915671 0.10907238 0.11898806
 0.12890373 0.1388194  0.14873507 0.15865074 0.16856641 0.17848208
 0.18839776 0.19831343 0.2082291  0.21814477 0.22806044 0.23797611
 0.24789178 0.25780745 0.26772313 0.2776388  0.28755447 0.29747014
 0.30738581 0.31730148 0.32721715 0.33713283 0.3470485  0.35696417
 0.36687984 0.37679551 0.38671118 0.39662685 0.40654253 0.4164582
 0.42637387 0.43628954 0.44620521 0.45612088 0.46603655 0.47595222
 0.4858679  0.49578357 0.50569924 0.51561491 0.52553058 0.53544625
 0.54536192 0.5552776  0.56519327 0.57510894 0.58502461 0.59494028
 0.60485595 0.61477162 0.62468729 0.63460297 0.64451864 0.65443431
 0.66434998 0.67426565 0.68418132 0.69409699 0.70401267 0.71392834
 0.72384401 0.73375968 0.74367535 0.75359102 0.76350669 0.77342236
 0.78333804 0.79325371 0.80316938 0.81308505 0.82300072 0.83291639
 0.84283206 0.85274774 0.86266341 0.87257908 0.88249475 0.89241042
 0.90232609 0.91224176 0.92215744 0.93207311 0.94198878 0.95190445
 0.96182012 0.97173579 0.98165146 0.99156713]"
131,"[0.00991106 0.01982213 0.02973319 0.03964425 0.04955532 0.05946638
 0.06937744 0.07928851 0.08919957 0.09911063 0.1090217  0.11893276
 0.12884382 0.13875489 0.14866595 0.15857701 0.16848808 0.17839914
 0.1883102  0.19822127 0.20813233 0.21804339 0.22795446 0.23786552
 0.24777658 0.25768765 0.26759871 0.27750977 0.28742084 0.2973319
 0.30724296 0.31715403 0.32706509 0.33697615 0.34688722 0.35679828
 0.36670934 0.37662041 0.38653147 0.39644253 0.4063536  0.41626466
 0.42617572 0.43608679 0.44599785 0.45590891 0.46581998 0.47573104
 0.4856421  0.49555317 0.50546423 0.51537529 0.52528636 0.53519742
 0.54510848 0.55501955 0.56493061 0.57484167 0.58475274 0.5946638
 0.60457486 0.61448593 0.62439699 0.63430805 0.64421912 0.65413018
 0.66404124 0.67395231 0.68386337 0.69377443 0.7036855  0.71359656
 0.72350762 0.73341869 0.74332975 0.75324081 0.76315188 0.77306294
 0.782974   0.79288507 0.80279613 0.81270719 0.82261826 0.83252932
 0.84244038 0.85235145 0.86226251 0.87217357 0.88208464 0.8919957
 0.90190676 0.91181783 0.92172889 0.93163995 0.94155102 0.95146208
 0.96137314 0.97128421 0.98119527 0.99110633]"
132,"[0.00990461 0.01980922 0.02971383 0.03961844 0.04952306 0.05942767
 0.06933228 0.07923689 0.0891415  0.09904611 0.10895072 0.11885533
 0.12875994 0.13866455 0.14856917 0.15847378 0.16837839 0.178283
 0.18818761 0.19809222 0.20799683 0.21790144 0.22780605 0.23771066
 0.24761528 0.25751989 0.2674245  0.27732911 0.28723372 0.29713833
 0.30704294 0.31694755 0.32685216 0.33675677 0.34666139 0.356566
 0.36647061 0.37637522 0.38627983 0.39618444 0.40608905 0.41599366
 0.42589827 0.43580288 0.4457075  0.45561211 0.46551672 0.47542133
 0.48532594 0.49523055 0.50513516 0.51503977 0.52494438 0.53484899
 0.54475361 0.55465822 0.56456283 0.57446744 0.58437205 0.59427666
 0.60418127 0.61408588 0.62399049 0.6338951  0.64379972 0.65370433
 0.66360894 0.67351355 0.68341816 0.69332277 0.70322738 0.71313199
 0.7230366  0.73294121 0.74284583 0.75275044 0.76265505 0.77255966
 0.78246427 0.79236888 0.80227349 0.8121781  0.82208271 0.83198732
 0.84189194 0.85179655 0.86170116 0.87160577 0.88151038 0.89141499
 0.9013196  0.91122421 0.92112882 0.93103343 0.94093805 0.95084266
 0.96074727 0.97065188 0.98055649 0.9904611 ]"
133,"[5.10713350e-15 9.88375245e-03 1.97675049e-02 2.96512573e-02
 3.95350098e-02 4.94187622e-02 5.93025147e-02 6.91862671e-02
 7.90700196e-02 8.89537720e-02 9.88375245e-02 1.08721277e-01
 1.18605029e-01 1.28488782e-01 1.38372534e-01 1.48256287e-01
 1.58140039e-01 1.68023792e-01 1.77907544e-01 1.87791297e-01
 1.97675049e-01 2.07558801e-01 2.17442554e-01 2.27326306e-01
 2.37210059e-01 2.47093811e-01 2.56977564e-01 2.66861316e-01
 2.76745069e-01 2.86628821e-01 2.96512573e-01 3.06396326e-01
 3.16280078e-01 3.26163831e-01 3.36047583e-01 3.45931336e-01
 3.55815088e-01 3.65698841e-01 3.75582593e-01 3.85466346e-01
 3.95350098e-01 4.05233850e-01 4.15117603e-01 4.25001355e-01
 4.34885108e-01 4.44768860e-01 4.54652613e-01 4.64536365e-01
 4.74420118e-01 4.84303870e-01 4.94187622e-01 5.04071375e-01
 5.13955127e-01 5.23838880e-01 5.33722632e-01 5.43606385e-01
 5.53490137e-01 5.63373890e-01 5.73257642e-01 5.83141395e-01
 5.93025147e-01 6.02908899e-01 6.12792652e-01 6.22676404e-01
 6.32560157e-01 6.42443909e-01 6.52327662e-01 6.62211414e-01
 6.72095167e-01 6.81978919e-01 6.91862671e-01 7.01746424e-01
 7.11630176e-01 7.21513929e-01 7.31397681e-01 7.41281434e-01
 7.51165186e-01 7.61048939e-01 7.70932691e-01 7.80816443e-01
 7.90700196e-01 8.00583948e-01 8.10467701e-01 8.20351453e-01
 8.30235206e-01 8.40118958e-01 8.50002711e-01 8.59886463e-01
 8.69770216e-01 8.79653968e-01 8.89537720e-01 8.99421473e-01
 9.09305225e-01 9.19188978e-01 9.29072730e-01 9.38956483e-01
 9.48840235e-01 9.58723988e-01 9.68607740e-01 9.78491492e-01]"
134,"[0.01003861 0.02007722 0.03011582 0.04015443 0.05019304 0.06023165
 0.07027025 0.08030886 0.09034747 0.10038608 0.11042469 0.12046329
 0.1305019  0.14054051 0.15057912 0.16061772 0.17065633 0.18069494
 0.19073355 0.20077216 0.21081076 0.22084937 0.23088798 0.24092659
 0.25096519 0.2610038  0.27104241 0.28108102 0.29111962 0.30115823
 0.31119684 0.32123545 0.33127406 0.34131266 0.35135127 0.36138988
 0.37142849 0.38146709 0.3915057  0.40154431 0.41158292 0.42162153
 0.43166013 0.44169874 0.45173735 0.46177596 0.47181456 0.48185317
 0.49189178 0.50193039 0.511969   0.5220076  0.53204621 0.54208482
 0.55212343 0.56216203 0.57220064 0.58223925 0.59227786 0.60231647
 0.61235507 0.62239368 0.63243229 0.6424709  0.6525095  0.66254811
 0.67258672 0.68262533 0.69266393 0.70270254 0.71274115 0.72277976
 0.73281837 0.74285697 0.75289558 0.76293419 0.7729728  0.7830114
 0.79305001 0.80308862 0.81312723 0.82316584 0.83320444 0.84324305
 0.85328166 0.86332027 0.87335887 0.88339748 0.89343609 0.9034747
 0.91351331 0.92355191 0.93359052 0.94362913 0.95366774 0.96370634
 0.97374495 0.98378356 0.99382217 1.00386078]"
135,"[-1.99834765e-15  1.00654345e-02  2.01308690e-02  3.01963035e-02
  4.02617381e-02  5.03271726e-02  6.03926071e-02  7.04580416e-02
  8.05234761e-02  9.05889106e-02  1.00654345e-01  1.10719780e-01
  1.20785214e-01  1.30850649e-01  1.40916083e-01  1.50981518e-01
  1.61046952e-01  1.71112387e-01  1.81177821e-01  1.91243256e-01
  2.01308690e-01  2.11374125e-01  2.21439559e-01  2.31504994e-01
  2.41570428e-01  2.51635863e-01  2.61701297e-01  2.71766732e-01
  2.81832166e-01  2.91897601e-01  3.01963035e-01  3.12028470e-01
  3.22093905e-01  3.32159339e-01  3.42224774e-01  3.52290208e-01
  3.62355643e-01  3.72421077e-01  3.82486512e-01  3.92551946e-01
  4.02617381e-01  4.12682815e-01  4.22748250e-01  4.32813684e-01
  4.42879119e-01  4.52944553e-01  4.63009988e-01  4.73075422e-01
  4.83140857e-01  4.93206291e-01  5.03271726e-01  5.13337160e-01
  5.23402595e-01  5.33468029e-01  5.43533464e-01  5.53598898e-01
  5.63664333e-01  5.73729767e-01  5.83795202e-01  5.93860636e-01
  6.03926071e-01  6.13991505e-01  6.24056940e-01  6.34122375e-01
  6.44187809e-01  6.54253244e-01  6.64318678e-01  6.74384113e-01
  6.84449547e-01  6.94514982e-01  7.04580416e-01  7.14645851e-01
  7.24711285e-01  7.34776720e-01  7.44842154e-01  7.54907589e-01
  7.64973023e-01  7.75038458e-01  7.85103892e-01  7.95169327e-01
  8.05234761e-01  8.15300196e-01  8.25365630e-01  8.35431065e-01
  8.45496499e-01  8.55561934e-01  8.65627368e-01  8.75692803e-01
  8.85758237e-01  8.95823672e-01  9.05889106e-01  9.15954541e-01
  9.26019975e-01  9.36085410e-01  9.46150845e-01  9.56216279e-01
  9.66281714e-01  9.76347148e-01  9.86412583e-01  9.96478017e-01]"
136,"[0.01004436 0.02008872 0.03013308 0.04017744 0.0502218  0.06026615
 0.07031051 0.08035487 0.09039923 0.10044359 0.11048795 0.12053231
 0.13057667 0.14062103 0.15066539 0.16070975 0.17075411 0.18079846
 0.19084282 0.20088718 0.21093154 0.2209759  0.23102026 0.24106462
 0.25110898 0.26115334 0.2711977  0.28124206 0.29128641 0.30133077
 0.31137513 0.32141949 0.33146385 0.34150821 0.35155257 0.36159693
 0.37164129 0.38168565 0.39173001 0.40177437 0.41181872 0.42186308
 0.43190744 0.4419518  0.45199616 0.46204052 0.47208488 0.48212924
 0.4921736  0.50221796 0.51226232 0.52230668 0.53235103 0.54239539
 0.55243975 0.56248411 0.57252847 0.58257283 0.59261719 0.60266155
 0.61270591 0.62275027 0.63279463 0.64283898 0.65288334 0.6629277
 0.67297206 0.68301642 0.69306078 0.70310514 0.7131495  0.72319386
 0.73323822 0.74328258 0.75332694 0.76337129 0.77341565 0.78346001
 0.79350437 0.80354873 0.81359309 0.82363745 0.83368181 0.84372617
 0.85377053 0.86381489 0.87385924 0.8839036  0.89394796 0.90399232
 0.91403668 0.92408104 0.9341254  0.94416976 0.95421412 0.96425848
 0.97430284 0.9843472  0.99439155 1.00443591]"
137,"[0.00986986 0.01973971 0.02960957 0.03947943 0.04934929 0.05921914
 0.069089   0.07895886 0.08882871 0.09869857 0.10856843 0.11843829
 0.12830814 0.138178   0.14804786 0.15791771 0.16778757 0.17765743
 0.18752729 0.19739714 0.207267   0.21713686 0.22700671 0.23687657
 0.24674643 0.25661628 0.26648614 0.276356   0.28622586 0.29609571
 0.30596557 0.31583543 0.32570528 0.33557514 0.345445   0.35531486
 0.36518471 0.37505457 0.38492443 0.39479428 0.40466414 0.414534
 0.42440386 0.43427371 0.44414357 0.45401343 0.46388328 0.47375314
 0.483623   0.49349286 0.50336271 0.51323257 0.52310243 0.53297228
 0.54284214 0.552712   0.56258186 0.57245171 0.58232157 0.59219143
 0.60206128 0.61193114 0.621801   0.63167085 0.64154071 0.65141057
 0.66128043 0.67115028 0.68102014 0.69089    0.70075985 0.71062971
 0.72049957 0.73036943 0.74023928 0.75010914 0.759979   0.76984885
 0.77971871 0.78958857 0.79945843 0.80932828 0.81919814 0.829068
 0.83893785 0.84880771 0.85867757 0.86854743 0.87841728 0.88828714
 0.898157   0.90802685 0.91789671 0.92776657 0.93763643 0.94750628
 0.95737614 0.967246   0.97711585 0.98698571]"
138,"[0.00995105 0.01990211 0.02985316 0.03980422 0.04975527 0.05970633
 0.06965738 0.07960843 0.08955949 0.09951054 0.1094616  0.11941265
 0.12936371 0.13931476 0.14926582 0.15921687 0.16916792 0.17911898
 0.18907003 0.19902109 0.20897214 0.2189232  0.22887425 0.2388253
 0.24877636 0.25872741 0.26867847 0.27862952 0.28858058 0.29853163
 0.30848269 0.31843374 0.32838479 0.33833585 0.3482869  0.35823796
 0.36818901 0.37814007 0.38809112 0.39804217 0.40799323 0.41794428
 0.42789534 0.43784639 0.44779745 0.4577485  0.46769956 0.47765061
 0.48760166 0.49755272 0.50750377 0.51745483 0.52740588 0.53735694
 0.54730799 0.55725904 0.5672101  0.57716115 0.58711221 0.59706326
 0.60701432 0.61696537 0.62691642 0.63686748 0.64681853 0.65676959
 0.66672064 0.6766717  0.68662275 0.69657381 0.70652486 0.71647591
 0.72642697 0.73637802 0.74632908 0.75628013 0.76623119 0.77618224
 0.78613329 0.79608435 0.8060354  0.81598646 0.82593751 0.83588857
 0.84583962 0.85579068 0.86574173 0.87569278 0.88564384 0.89559489
 0.90554595 0.915497   0.92544806 0.93539911 0.94535016 0.95530122
 0.96525227 0.97520333 0.98515438 0.99510544]"
139,"[0.01004871 0.02009741 0.03014612 0.04019483 0.05024353 0.06029224
 0.07034095 0.08038966 0.09043836 0.10048707 0.11053578 0.12058448
 0.13063319 0.1406819  0.1507306  0.16077931 0.17082802 0.18087672
 0.19092543 0.20097414 0.21102284 0.22107155 0.23112026 0.24116897
 0.25121767 0.26126638 0.27131509 0.28136379 0.2914125  0.30146121
 0.31150991 0.32155862 0.33160733 0.34165603 0.35170474 0.36175345
 0.37180216 0.38185086 0.39189957 0.40194828 0.41199698 0.42204569
 0.4320944  0.4421431  0.45219181 0.46224052 0.47228922 0.48233793
 0.49238664 0.50243534 0.51248405 0.52253276 0.53258147 0.54263017
 0.55267888 0.56272759 0.57277629 0.582825   0.59287371 0.60292241
 0.61297112 0.62301983 0.63306853 0.64311724 0.65316595 0.66321466
 0.67326336 0.68331207 0.69336078 0.70340948 0.71345819 0.7235069
 0.7335556  0.74360431 0.75365302 0.76370172 0.77375043 0.78379914
 0.79384785 0.80389655 0.81394526 0.82399397 0.83404267 0.84409138
 0.85414009 0.86418879 0.8742375  0.88428621 0.89433491 0.90438362
 0.91443233 0.92448103 0.93452974 0.94457845 0.95462716 0.96467586
 0.97472457 0.98477328 0.99482198 1.00487069]"
140,"[0.0101025  0.020205   0.0303075  0.04041    0.0505125  0.060615
 0.0707175  0.08082    0.0909225  0.101025   0.1111275  0.12123
 0.1313325  0.141435   0.1515375  0.16164    0.1717425  0.181845
 0.1919475  0.20205    0.2121525  0.222255   0.2323575  0.24246
 0.2525625  0.262665   0.2727675  0.28287    0.2929725  0.303075
 0.3131775  0.32328    0.3333825  0.343485   0.3535875  0.36369001
 0.37379251 0.38389501 0.39399751 0.40410001 0.41420251 0.42430501
 0.43440751 0.44451001 0.45461251 0.46471501 0.47481751 0.48492001
 0.49502251 0.50512501 0.51522751 0.52533001 0.53543251 0.54553501
 0.55563751 0.56574001 0.57584251 0.58594501 0.59604751 0.60615001
 0.61625251 0.62635501 0.63645751 0.64656001 0.65666251 0.66676501
 0.67686751 0.68697001 0.69707251 0.70717501 0.71727751 0.72738001
 0.73748251 0.74758501 0.75768751 0.76779001 0.77789251 0.78799501
 0.79809751 0.80820001 0.81830251 0.82840501 0.83850751 0.84861001
 0.85871251 0.86881501 0.87891751 0.88902001 0.89912251 0.90922501
 0.91932751 0.92943001 0.93953251 0.94963501 0.95973751 0.96984001
 0.97994251 0.99004501 1.00014751 1.01025001]"
141,"[0.01010985 0.02021969 0.03032954 0.04043938 0.05054923 0.06065907
 0.07076892 0.08087876 0.09098861 0.10109845 0.1112083  0.12131814
 0.13142799 0.14153783 0.15164768 0.16175752 0.17186737 0.18197721
 0.19208706 0.2021969  0.21230675 0.22241659 0.23252644 0.24263628
 0.25274613 0.26285598 0.27296582 0.28307567 0.29318551 0.30329536
 0.3134052  0.32351505 0.33362489 0.34373474 0.35384458 0.36395443
 0.37406427 0.38417412 0.39428396 0.40439381 0.41450365 0.4246135
 0.43472334 0.44483319 0.45494303 0.46505288 0.47516272 0.48527257
 0.49538241 0.50549226 0.51560211 0.52571195 0.5358218  0.54593164
 0.55604149 0.56615133 0.57626118 0.58637102 0.59648087 0.60659071
 0.61670056 0.6268104  0.63692025 0.64703009 0.65713994 0.66724978
 0.67735963 0.68746947 0.69757932 0.70768916 0.71779901 0.72790885
 0.7380187  0.74812854 0.75823839 0.76834823 0.77845808 0.78856793
 0.79867777 0.80878762 0.81889746 0.82900731 0.83911715 0.849227
 0.85933684 0.86944669 0.87955653 0.88966638 0.89977622 0.90988607
 0.91999591 0.93010576 0.9402156  0.95032545 0.96043529 0.97054514
 0.98065498 0.99076483 1.00087467 1.01098452]"
142,"[0.00990768 0.01981535 0.02972303 0.03963071 0.04953838 0.05944606
 0.06935374 0.07926142 0.08916909 0.09907677 0.10898445 0.11889212
 0.1287998  0.13870748 0.14861515 0.15852283 0.16843051 0.17833818
 0.18824586 0.19815354 0.20806122 0.21796889 0.22787657 0.23778425
 0.24769192 0.2575996  0.26750728 0.27741495 0.28732263 0.29723031
 0.30713798 0.31704566 0.32695334 0.33686102 0.34676869 0.35667637
 0.36658405 0.37649172 0.3863994  0.39630708 0.40621475 0.41612243
 0.42603011 0.43593778 0.44584546 0.45575314 0.46566082 0.47556849
 0.48547617 0.49538385 0.50529152 0.5151992  0.52510688 0.53501455
 0.54492223 0.55482991 0.56473758 0.57464526 0.58455294 0.59446062
 0.60436829 0.61427597 0.62418365 0.63409132 0.643999   0.65390668
 0.66381435 0.67372203 0.68362971 0.69353738 0.70344506 0.71335274
 0.72326042 0.73316809 0.74307577 0.75298345 0.76289112 0.7727988
 0.78270648 0.79261415 0.80252183 0.81242951 0.82233718 0.83224486
 0.84215254 0.85206021 0.86196789 0.87187557 0.88178325 0.89169092
 0.9015986  0.91150628 0.92141395 0.93132163 0.94122931 0.95113698
 0.96104466 0.97095234 0.98086001 0.99076769]"
143,"[0.0099074  0.0198148  0.0297222  0.0396296  0.049537   0.0594444
 0.06935181 0.07925921 0.08916661 0.09907401 0.10898141 0.11888881
 0.12879621 0.13870361 0.14861101 0.15851841 0.16842581 0.17833321
 0.18824061 0.19814802 0.20805542 0.21796282 0.22787022 0.23777762
 0.24768502 0.25759242 0.26749982 0.27740722 0.28731462 0.29722202
 0.30712942 0.31703682 0.32694422 0.33685163 0.34675903 0.35666643
 0.36657383 0.37648123 0.38638863 0.39629603 0.40620343 0.41611083
 0.42601823 0.43592563 0.44583303 0.45574043 0.46564784 0.47555524
 0.48546264 0.49537004 0.50527744 0.51518484 0.52509224 0.53499964
 0.54490704 0.55481444 0.56472184 0.57462924 0.58453664 0.59444405
 0.60435145 0.61425885 0.62416625 0.63407365 0.64398105 0.65388845
 0.66379585 0.67370325 0.68361065 0.69351805 0.70342545 0.71333285
 0.72324026 0.73314766 0.74305506 0.75296246 0.76286986 0.77277726
 0.78268466 0.79259206 0.80249946 0.81240686 0.82231426 0.83222166
 0.84212906 0.85203647 0.86194387 0.87185127 0.88175867 0.89166607
 0.90157347 0.91148087 0.92138827 0.93129567 0.94120307 0.95111047
 0.96101787 0.97092527 0.98083267 0.99074008]"
